"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Autenticação","1","0","Login com credenciais inválidas","0"
"0","","0","Compra","1","0","Adicionar produto ao carrinho","0"
"0","","0","","1","0","","0"
"0","","0","Autenticação","1","0","Login com credenciais válidas","0"
